country_id,country_name,country_block
1,Соединенные Штаты Америки (США),Нет
2,Великобритания,Европейский союз (ЕС)
3,Израиль,Нет
4,Казахстан,Нет
5,Франция,Европейский союз (ЕС)
6,Киргизия,Нет
7,Беларусь,Нет
8,Италия,Европейский союз (ЕС)
9,Египет,Нет
10,Бельгия,Европейский союз (ЕС)
11,Дания,Европейский союз (ЕС)
12,Узбекистан,Нет
13,Украина,Нет
14,Туркменистан,Нет
15,Армения,Нет
16,Германия,Европейский союз (ЕС)
17,Литва,Европейский союз (ЕС)
18,Швейцария,Нет
19,Азербайджан,Нет
20,Китайская Народная Республика (КНР),Нет
21,Таджикистан,Нет
22,Нидерланды,Европейский союз (ЕС)
23,Молдавия,Нет
24,Испания,Европейский союз (ЕС)
25,Неизвестная страна,Нет
26,Индия,Нет
27,Швеция,Европейский союз (ЕС)
28,Польша,Европейский союз (ЕС)
29,Япония,Нет
30,Республика Корея,Нет
31,Португалия,Европейский союз (ЕС)
32,Румыния,Европейский союз (ЕС)
33,Грузия,Нет
34,Саудовская Аравия,Нет
35,Сербия,Нет
36,Турция,Нет
37,Австралия,Нет
38,Гвинея,Нет
39,Финляндия,Европейский союз (ЕС)
40,Тайвань,Нет
41,Монголия,Нет
42,Ирландия,Европейский союз (ЕС)
43,Мексика,Нет
44,Австрия,Европейский союз (ЕС)
45,Венгрия,Европейский союз (ЕС)
46,Чехия,Европейский союз (ЕС)
47,Словакия,Европейский союз (ЕС)
48,Словения,Европейский союз (ЕС)
49,Тунис,Нет
50,Канада,Нет
51,Ирак,Нет
52,Южно-Африканская Республика (ЮАР),Нет
53,Кипр,Европейский союз (ЕС)
54,Сингапур,Нет
55,Эстония,Европейский союз (ЕС)
56,Европейский союз (ЕС),Европейский союз (ЕС)
57,Эквадор,Нет
58,Мальта,Европейский союз (ЕС)
59,Аргентина,Нет
60,Греция,Европейский союз (ЕС)
61,Французская Гвиана,Нет
62,Сенегал,Нет
63,Гватемала,Нет
64,Кения,Нет
65,Латвия,Европейский союз (ЕС)
66,Морокко,Нет
67,Бразилия,Нет
68,Чили,Нет
69,Колумбия,Нет
70,Малайзия,Нет
71,Парагвай,Нет
72,Таиланд,Нет
73,Абхазия,Нет
74,Норвегия,Нет
75,Гондурас,Нет
76,Сальвадор,Нет
77,Филлипины,Нет
78,Пакистан,Нет
