region_id,region_code,region_name,region_federal_district_id
1,80000,Республика Башкортостан,1
2,88000,Республика Марий Эл,1
3,67000,Севастополь,2
4,18000,Волгоградская область,2
5,90000,Республика Северная Осетия-Алания,3
6,84000,Республика Алтай,4
7,26000,Республика Ингушетия,3
8,69000,Томская область,4
9,56000,Пензенская область,1
10,73000,Ульяновская область,1
11,11100,Ненецкий автономный округ (архангельская область),5
12,03000,Краснодарский край,2
13,75000,Челябинская область,6
14,12000,Астраханская область,2
15,61000,Рязанская область,7
16,33000,Кировская область,1
17,58000,Псковская область,5
18,79000,Республика Адыгея (Адыгея),2
19,53000,Оренбургская область,1
20,86000,Республика Карелия,5
21,19000,Вологодская область,5
22,71100,Ханты-мансийский автономный округ (тюменская область),6
23,64000,Сахалинская область,8
24,40000,Санкт-Петербург,5
25,27000,Калининградская область,5
26,97000,Чувашская Республика - Чувашия,1
27,50000,Новосибирская область,4
28,15000,Брянская область,7
29,10000,Амурская область,8
30,92000,Республика Татарстан (Татарстан),1
31,28000,Тверская область,7
32,85000,Республика Калмыкия,2
33,70000,Тульская область,7
34,14000,Белгородская область,7
35,77000,Чукотский автономный округ,8
36,44000,Магаданская область,8
37,81000,Республика Бурятия,8
38,38000,Курская область,7
39,82000,Республика Дагестан,3
40,71140,Ямало-ненецкий автономный округ (тюменская область),6
41,96000,Чеченская Республика,3
42,22000,Нижегородская область,1
43,93000,Республика Тыва,4
44,65000,Свердловская область,6
45,54000,Орловская область,7
46,11000,Архангельская область,5
47,78000,Ярославская область,7
48,25000,Иркутская область,4
49,76000,Забайкальский край,8
50,89000,Республика Мордовия,1
51,52000,Омская область,4
52,36000,Самарская область,1
53,91000,Карачаево-Черкесская Республика,3
54,99000,Еврейская автономная область,8
55,94000,Удмуртская Республика,1
56,46000,Московская область,7
57,71000,Тюменская область,6
58,49000,Новгородская область,5
59,57000,Пермский край,1
60,17000,Владимирская область,7
61,35000,Республика Крым,2
62,07000,Ставропольский край,3
63,32000,Кемеровская область,4
64,66000,Смоленская область,7
65,29000,Калужская область,7
66,63000,Саратовская область,1
67,37000,Курганская область,6
68,08000,Хабаровский край,8
69,05000,Приморский край,8
70,01000,Алтайский край,4
71,60000,Ростовская область,2
72,42000,Липецкая область,7
73,24000,Ивановская область,7
74,20000,Воронежская область,7
75,45000,Москва,7
76,68000,Тамбовская область,7
77,95000,Республика Хакасия,4
78,87000,Республика Коми,5
79,83000,Кабардино-Балкарская Республика,3
80,41000,Ленинградская область,5
81,04000,Красноярский край,4
82,47000,Мурманская область,5
83,30000,Камчатский край,8
84,98000,Республика Саха (Якутия),8
85,34000,Костромская область,7
