unit_id,unit_code,unit_name
1,166,килограмм
2,861,килограмм азота
3,796,штука
4,113,кубический метр
5,831,литр чистого (100%) спирта
6,112,литр
7,863,килограмм гидроксида натрия
8,130,1000 литров
9,859,килограмм гидроксида калия
10,852,килограмм оксида калия
11,841,килограмм пероксида водорода
12,163,грамм
13,865,килограмм пятиокиси фосфора
14,798,тысяча штук
15,055,квадратный метр
16,715,пара
17,006,метр
18,162,метрический карат
19,845,килограмм сухого на 90% вещества
20,797,сто штук
21,246,1000 киловатт-час
22,114,1000 кубических метров
