Код,Наименование (англ.),Наименование,Страна,Направление
7304 11 00,"Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel","Трубы линейные, используемые для нефте- или газопроводов, бесшовные, из нержавеющей
                                    стали",EU,Экспорт в РФ
7304 19 10,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel, of an
                                    external diameter not exceeding 168, 3 mm (excl. products of stainless steel or of
                                    cast
                                    iron)","Трубы линейные, используемые для нефте- или газопроводов, бесшовные, из черных
                                    металлов,
                                    с наружным диаметром не более 168, 3 мм (кроме изделий из нержавеющей стали или
                                    чугуна)
                                ",EU,Экспорт в РФ
7304 19 30,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel, of an
                                    external diameter exceeding 168, 3 mm but not exceeding 406, 4 mm (excl. products of
                                    stainless steel or of cast iron)","Трубы линейные, используемые для нефте- или газопроводов, бесшовные, из черных
                                    металлов,
                                    с наружным диаметром более 168, 3 мм, но не более 406, 4 мм (кроме изделий из
                                    нержавеющей
                                    стали или чугуна)",EU,Экспорт в РФ
7304 19 90,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel, of an
                                    external diameter exceeding 406, 4 mm (excl. products of stainless steel or of cast
                                    iron)
                                ","Трубы линейные, используемые для нефте- или газопроводов, бесшовные, из черных
                                    металлов,
                                    с наружным диаметром более 406, 4 мм (кроме изделий из нержавеющей стали или чугуна)
                                ",EU,Экспорт в РФ
7304 22 00,"Drill pipe, seamless, of stainless steel, of a kind used in drilling for oil or gas
                                ","Трубы бурильные бесшовные из нержавеющей стали, используемые при бурении нефтяных и
                                    газовых скважин",EU,Экспорт в РФ
7304 23 00,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel
                                    (excl.
                                    products of stainless steel or of cast iron)","Трубы бурильные бесшовные, используемые при бурении нефтяных или газовых скважин, из
                                    черных металлов (кроме изделий из нержавеющей стали или чугуна)",EU,Экспорт в РФ
7304 29 10,"Casing and tubing of a kind used for drilling for oil or gas, seamless, of iron or
                                    steel, of an external diameter not exceeding 168, 3 mm (excl. products of cast iron)
                                ","Обсадные и насосно-компрессорные трубы, используемые для бурения на нефть или газ,
                                    бесшовные, из черных металлов, с наружным диаметром не более 168, 3 мм (кроме
                                    изделий из
                                    чугуна)",EU,Экспорт в РФ
7304 29 30,"Casing and tubing of a kind used for drilling for oil or gas, seamless, of iron or
                                    steel, of an external diameter exceeding 168, 3 mm, but not exceeding 406, 4 mm
                                    (excl.
                                    products of cast iron)","Обсадные и насосно-компрессорные трубы, используемые для бурения на нефть или газ,
                                    бесшовные, из черных металлов, наружным диаметром более 168, 3 мм, но не более 406,
                                    4 мм
                                    (кроме изделий из чугуна)",EU,Экспорт в РФ
7304 29 90,"Casing and tubing of a kind used for drilling for oil or gas, seamless, of iron or
                                    steel, of an external diameter exceeding 406, 4 mm (excl. products of cast iron)
                                ","Обсадные и насосно-компрессорные трубы, используемые для бурения на нефть или газ,
                                    бесшовные, из черных металлов, с наружным диаметром более 406, 4 мм (кроме изделий
                                    из
                                    чугуна)",EU,Экспорт в РФ
7305 11 00,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections
                                    and an
                                    external diameter of exceeding 406, 4 mm, of iron or steel, longitudinally submerged
                                    arc
                                    welded","Трубы линейные, используемые для нефте- или газопроводов, имеющие круглое поперечное
                                    сечение и наружный диаметр более 406, 4 мм, из черных металлов, продольно сваренные
                                    дуговой сваркой под флюсом",EU,Экспорт в РФ
7305 12 00,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections
                                    and an
                                    external diameter of exceeding 406, 4 mm, of iron or steel, longitudinally arc
                                    welded
                                    (excl. products longitudinally submerged arc welded)","Трубы линейные, используемые для нефте- или газопроводов, имеющие круглое поперечное
                                    сечение и наружным диаметром более 406, 4 мм, из черных металлов, сваренные
                                    продольной
                                    дугой (кроме изделий, сваренных продольной дугой под флюсом)",EU,Экспорт в РФ
7305 19 00,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections
                                    and an
                                    external diameter of exceeding 406, 4 mm, of flat-rolled products of iron or steel
                                    (excl.
                                    products longitudinally arc welded)","Трубы линейные, используемые для нефте- или газопроводов, круглого сечения и
                                    наружным
                                    диаметром более 406, 4 мм, из плоского проката из черных металлов (кроме изделий,
                                    сваренных продольной дугой)",EU,Экспорт в РФ
7305 20 00,"Casing of a kind used in drilling for oil or gas, having circular cross-sections and
                                    an
                                    external diameter of exceeding 406, 4 mm, of flat-rolled products of iron or steel
                                ","Корпус, используемый при бурении на нефть или газ, имеющий круглое поперечное
                                    сечение и
                                    наружный диаметр более 406, 4 мм, из плоского проката из черных металлов",EU,Экспорт в РФ
7306 11,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products
                                    of
                                    stainless steel, of an external diameter of not exceeding 406, 4 mm","Труба линейная для нефте- или газопроводов сварная из плоского проката из
                                    нержавеющей
                                    стали наружным диаметром не более 406, 4 мм",EU,Экспорт в РФ
7306 19,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products
                                    of
                                    iron or steel, of an external diameter of not exceeding 406, 4 mm (excl. products of
                                    stainless steel or of cast iron)","Труба линейная, используемая для нефте- или газопроводов, сварная, из плоского
                                    проката
                                    из черных металлов, наружным диаметром не более 406, 4 мм (кроме изделий из
                                    нержавеющей
                                    стали или чугуна)",EU,Экспорт в РФ
7306 21 00,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled
                                    products of stainless steel, of an external diameter of not exceeding 406, 4 mm","Обсадные и насосно-компрессорные трубы, используемые при бурении на нефть или газ,
                                    сварные, из плоского проката из нержавеющей стали, наружным диаметром не более 406,
                                    4 мм
                                ",EU,Экспорт в РФ
7306 29 00,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled
                                    products of iron or steel, of an external diameter of not exceeding 406, 4 mm (excl.
                                    products of stainless steel or of cast iron)","Обсадные и насосно-компрессорные трубы, используемые при бурении на нефть или газ,
                                    сварные, из плоского проката из черных металлов, наружным диаметром не более 406, 4
                                    мм
                                    (кроме изделий из коррозионностойкой стали или чугуна)",EU,Экспорт в РФ
8207 13 00,"Rock-drilling or earth-boring tools, interchangeable, with working parts of sintered
                                    metal carbides or cermets","Инструмент буровой или землеройный сменный, с рабочими частями из спеченных карбидов
                                    металлов или металлокерамики",EU,Экспорт в РФ
8207 19 10,"Rock-drilling or earth-boring tools, interchangeable, with working parts of diamond
                                    or
                                    agglomerated diamond","Инструмент буровой или землеройный, взаимозаменяемый, с рабочими частями из алмаза
                                    или
                                    алмазных агломератов",EU,Экспорт в РФ
8413 50,"Reciprocating positive displacement pumps for liquids, power-driven (excl. those of
                                    subheading 8413 11 and 8413 19, fuel, lubricating or cooling medium pumps for
                                    internal
                                    combustion piston engine and concrete pumps)","Поршневые объемные насосы для жидкостей с механическим приводом (кроме насосов
                                    подсубпозиции 8413 11 и 8413 19, насосов для подачи топлива, смазки или охлаждающей
                                    жидкости для поршневых двигателей внутреннего сгорания и бетононасосов)",EU,Экспорт в РФ
8413 60,"Rotary positive displacement pumps for liquids, power-driven (excl. those of
                                    subheading
                                    8413 11 and 8413 19 and fuel, lubricating or cooling medium pumps for internal
                                    combustion piston engine)","Роторные объемные насосы для жидкостей с механическим приводом (кроме насосов
                                    подсубпозиции 8413 11 и 8413 19 и насосов для подачи топлива, смазки или охлаждающей
                                    среды для поршневых двигателей внутреннего сгорания)",EU,Экспорт в РФ
8413 82 00,Liquid elevators (excl. pumps),Элеваторы жидкости (кроме насосов),EU,Экспорт в РФ
8413 92 00,"Parts of liquid elevators, n.e.s.","Детали элеваторов для жидкостей, не включенные в другие категории",EU,Экспорт в РФ
